imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop
argparse,7.5,4.9,2024-04-11T19:53:52.720529985Z,2024-04-11T19:53:54.422875691Z,2024-04-11T19:53:55.624093699Z,2024-04-11T19:53:54.572217630Z,2024-04-11T19:53:54.610650520Z,2024-04-11T19:53:56.091337383Z,2024-04-11T19:53:56.673824763Z,2024-04-11T19:53:57.708210928Z,2024-04-11T19:53:56.687454325Z,2024-04-11T19:53:56.699213422Z,2024-04-11T19:53:58.170465796Z,2024-04-11T19:53:58.745811876Z,2024-04-11T19:53:59.779279756Z,2024-04-11T19:53:58.760035136Z,2024-04-11T19:53:58.771194884Z,2024-04-11T19:54:00.289500092Z,2024-04-11T19:54:00.921388901Z,2024-04-11T19:54:01.955953062Z,2024-04-11T19:54:00.935994230Z,2024-04-11T19:54:00.947895042Z,2024-04-11T19:54:02.430520502Z,2024-04-11T19:54:02.91410273Z,2024-04-11T19:54:03.949399177Z,2024-04-11T19:54:02.928611706Z,2024-04-11T19:54:02.940693428Z,2024-04-11T19:54:04.424645434Z,2024-04-11T19:54:04.968385401Z,2024-04-11T19:54:06.003497726Z,2024-04-11T19:54:04.982389175Z,2024-04-11T19:54:04.993756025Z
clean,11.9,7.2,2024-04-11T20:30:14.485933216Z,2024-04-11T20:30:17.404608945Z,2024-04-11T20:30:18.646319497Z,2024-04-11T20:30:17.612641218Z,2024-04-11T20:30:17.618471281Z,2024-04-11T20:30:19.37931739Z,2024-04-11T20:30:20.328149462Z,2024-04-11T20:30:21.348800841Z,2024-04-11T20:30:20.341334837Z,2024-04-11T20:30:20.341666668Z,2024-04-11T20:30:22.039006371Z,2024-04-11T20:30:22.869410016Z,2024-04-11T20:30:23.890155182Z,2024-04-11T20:30:22.882443448Z,2024-04-11T20:30:22.882765249Z,2024-04-11T20:30:24.960071761Z,2024-04-11T20:30:26.884358698Z,2024-04-11T20:30:27.905162426Z,2024-04-11T20:30:26.910222221Z,2024-04-11T20:30:26.910244594Z,2024-04-11T20:30:29.435327259Z,2024-04-11T20:30:31.048245873Z,2024-04-11T20:30:32.066728682Z,2024-04-11T20:30:31.059573425Z,2024-04-11T20:30:31.059922039Z,2024-04-11T20:30:32.708178246Z,2024-04-11T20:30:33.536103638Z,2024-04-11T20:30:34.557572552Z,2024-04-11T20:30:33.549253857Z,2024-04-11T20:30:33.549560380Z
collections,2.8,-1,2024-04-11T19:50:12.150737501Z,2024-04-11T19:50:14.598049582Z,2024-04-11T19:50:15.857958429Z,2024-04-11T19:50:14.806271760Z,2024-04-11T19:50:14.845306821Z,2024-04-11T19:50:16.424036492Z,2024-04-11T19:50:17.066155757Z,2024-04-11T19:50:18.120954326Z,2024-04-11T19:50:17.094647878Z,2024-04-11T19:50:17.111697910Z,2024-04-11T19:50:18.590959738Z,2024-04-11T19:50:19.209313189Z,2024-04-11T19:50:20.262957636Z,2024-04-11T19:50:19.238190815Z,2024-04-11T19:50:19.255425107Z,2024-04-11T19:50:20.736957027Z,2024-04-11T19:50:21.335865443Z,2024-04-11T19:50:22.393197594Z,2024-04-11T19:50:21.367788223Z,2024-04-11T19:50:21.385700800Z,2024-04-11T19:50:22.992230187Z,2024-04-11T19:50:23.583227918Z,2024-04-11T19:50:24.64438264Z,2024-04-11T19:50:23.618555723Z,2024-04-11T19:50:23.636300671Z,2024-04-11T19:50:25.096304234Z,2024-04-11T19:50:25.625358435Z,2024-04-11T19:50:26.67995975Z,2024-04-11T19:50:25.654623274Z,2024-04-11T19:50:25.671988228Z
colmena,21.7,18.1,2024-04-11T20:45:00.900714739Z,2024-04-11T20:45:03.465720426Z,2024-04-11T20:45:04.652467131Z,2024-04-11T20:45:03.631036171Z,2024-04-11T20:45:03.641108078Z,2024-04-11T20:45:05.436909428Z,2024-04-11T20:45:06.17262077Z,2024-04-11T20:45:07.192952959Z,2024-04-11T20:45:06.186254568Z,2024-04-11T20:45:06.186612532Z,2024-04-11T20:45:07.726838445Z,2024-04-11T20:45:08.468272714Z,2024-04-11T20:45:09.488448648Z,2024-04-11T20:45:08.481395811Z,2024-04-11T20:45:08.481763300Z,2024-04-11T20:45:10.232179437Z,2024-04-11T20:45:11.078420469Z,2024-04-11T20:45:12.098196504Z,2024-04-11T20:45:11.091054334Z,2024-04-11T20:45:11.091544146Z,2024-04-11T20:45:12.596432468Z,2024-04-11T20:45:13.227836303Z,2024-04-11T20:45:14.247441301Z,2024-04-11T20:45:13.241167910Z,2024-04-11T20:45:13.241665281Z,2024-04-11T20:45:14.930062015Z,2024-04-11T20:45:15.76273786Z,2024-04-11T20:45:16.784124878Z,2024-04-11T20:45:15.776566806Z,2024-04-11T20:45:15.776929750Z
common,10.9,7.8,2024-04-11T20:46:54.601642828Z,2024-04-11T20:46:57.095491776Z,2024-04-11T20:46:58.28342198Z,2024-04-11T20:46:57.265346946Z,2024-04-11T20:46:57.271881434Z,2024-04-11T20:46:58.870368988Z,2024-04-11T20:46:59.531331147Z,2024-04-11T20:47:00.552414036Z,2024-04-11T20:46:59.545088247Z,2024-04-11T20:46:59.545434882Z,2024-04-11T20:47:01.158982948Z,2024-04-11T20:47:01.795104633Z,2024-04-11T20:47:02.816053133Z,2024-04-11T20:47:01.808830784Z,2024-04-11T20:47:01.809319514Z,2024-04-11T20:47:03.363813199Z,2024-04-11T20:47:04.215801527Z,2024-04-11T20:47:05.237367227Z,2024-04-11T20:47:04.229658823Z,2024-04-11T20:47:04.230042502Z,2024-04-11T20:47:05.80459127Z,2024-04-11T20:47:06.477731414Z,2024-04-11T20:47:07.497685855Z,2024-04-11T20:47:06.490382514Z,2024-04-11T20:47:06.490816528Z,2024-04-11T20:47:08.019436543Z,2024-04-11T20:47:08.927087576Z,2024-04-11T20:47:09.948347018Z,2024-04-11T20:47:08.940822118Z,2024-04-11T20:47:08.941311783Z
copy,1.9,-1,2024-04-11T19:51:20.054950379Z,2024-04-11T19:51:21.831955097Z,2024-04-11T19:51:23.023007937Z,2024-04-11T19:51:21.985895755Z,2024-04-11T19:51:22.007364770Z,2024-04-11T19:51:23.5261498Z,2024-04-11T19:51:24.131368422Z,2024-04-11T19:51:25.180048333Z,2024-04-11T19:51:24.159208133Z,2024-04-11T19:51:24.172280506Z,2024-04-11T19:51:25.647724825Z,2024-04-11T19:51:26.223816907Z,2024-04-11T19:51:27.272481967Z,2024-04-11T19:51:26.252335487Z,2024-04-11T19:51:26.265087565Z,2024-04-11T19:51:27.802486621Z,2024-04-11T19:51:28.371915015Z,2024-04-11T19:51:29.421838383Z,2024-04-11T19:51:28.401537298Z,2024-04-11T19:51:28.414343730Z,2024-04-11T19:51:29.867670319Z,2024-04-11T19:51:30.388500074Z,2024-04-11T19:51:31.438587419Z,2024-04-11T19:51:30.418353410Z,2024-04-11T19:51:30.431074002Z,2024-04-11T19:51:31.891723343Z,2024-04-11T19:51:32.45158475Z,2024-04-11T19:51:33.505976233Z,2024-04-11T19:51:32.483952717Z,2024-04-11T19:51:32.497191258Z
csv,2,-1,2024-04-11T19:58:10.029778101Z,2024-04-11T19:58:11.670173962Z,2024-04-11T19:58:12.927139172Z,2024-04-11T19:58:11.826759304Z,2024-04-11T19:58:11.914051271Z,2024-04-11T19:58:13.474040399Z,2024-04-11T19:58:14.104156238Z,2024-04-11T19:58:15.202842971Z,2024-04-11T19:58:14.133799320Z,2024-04-11T19:58:14.193291695Z,2024-04-11T19:58:15.697844793Z,2024-04-11T19:58:16.368283351Z,2024-04-11T19:58:17.482820814Z,2024-04-11T19:58:16.414162562Z,2024-04-11T19:58:16.473723818Z,2024-04-11T19:58:17.955766712Z,2024-04-11T19:58:18.548231777Z,2024-04-11T19:58:19.646036374Z,2024-04-11T19:58:18.577562241Z,2024-04-11T19:58:18.637166488Z,2024-04-11T19:58:20.104075844Z,2024-04-11T19:58:20.651814492Z,2024-04-11T19:58:21.751640004Z,2024-04-11T19:58:20.679195972Z,2024-04-11T19:58:20.742527417Z,2024-04-11T19:58:22.248725025Z,2024-04-11T19:58:22.752272443Z,2024-04-11T19:58:23.853111856Z,2024-04-11T19:58:22.781720765Z,2024-04-11T19:58:22.843264419Z
cv2,217.6,16.1,2024-04-11T20:23:03.848207972Z,2024-04-11T20:23:07.040418363Z,2024-04-11T20:23:10.889251635Z,2024-04-11T20:23:07.396701860Z,2024-04-11T20:23:09.767112128Z,2024-04-11T20:23:11.742400217Z,2024-04-11T20:23:13.246154981Z,2024-04-11T20:23:14.446237619Z,2024-04-11T20:23:13.256594071Z,2024-04-11T20:23:13.412324221Z,2024-04-11T20:23:15.260224739Z,2024-04-11T20:23:16.525028659Z,2024-04-11T20:23:17.728919566Z,2024-04-11T20:23:16.538723897Z,2024-04-11T20:23:16.694572534Z,2024-04-11T20:23:18.413916056Z,2024-04-11T20:23:19.347798052Z,2024-04-11T20:23:20.551535277Z,2024-04-11T20:23:19.361860680Z,2024-04-11T20:23:19.517996753Z,2024-04-11T20:23:21.356320133Z,2024-04-11T20:23:22.283220591Z,2024-04-11T20:23:23.489225773Z,2024-04-11T20:23:22.299975459Z,2024-04-11T20:23:22.456088755Z,2024-04-11T20:23:24.24558943Z,2024-04-11T20:23:25.091377198Z,2024-04-11T20:23:26.299798873Z,2024-04-11T20:23:25.105241037Z,2024-04-11T20:23:25.264388302Z
data,10.8,7.5,2024-04-11T20:47:27.25509697Z,2024-04-11T20:47:30.375868234Z,2024-04-11T20:47:31.724108217Z,2024-04-11T20:47:30.551372662Z,2024-04-11T20:47:30.713599026Z,2024-04-11T20:47:32.38313609Z,2024-04-11T20:47:33.465099366Z,2024-04-11T20:47:34.51073153Z,2024-04-11T20:47:33.479433157Z,2024-04-11T20:47:33.500223470Z,2024-04-11T20:47:35.091403657Z,2024-04-11T20:47:35.75224965Z,2024-04-11T20:47:36.7964772Z,2024-04-11T20:47:35.765542833Z,2024-04-11T20:47:35.785709384Z,2024-04-11T20:47:37.390625666Z,2024-04-11T20:47:38.172335319Z,2024-04-11T20:47:39.21461617Z,2024-04-11T20:47:38.204462391Z,2024-04-11T20:47:38.204500171Z,2024-04-11T20:47:39.838606805Z,2024-04-11T20:47:40.547049973Z,2024-04-11T20:47:41.593266348Z,2024-04-11T20:47:40.560999707Z,2024-04-11T20:47:40.582190620Z,2024-04-11T20:47:42.13201311Z,2024-04-11T20:47:42.885019691Z,2024-04-11T20:47:43.930026023Z,2024-04-11T20:47:42.898966056Z,2024-04-11T20:47:42.919802741Z
datacite,11.1,8.3,2024-04-11T19:56:14.453356745Z,2024-04-11T19:56:16.103269812Z,2024-04-11T19:56:18.103327457Z,2024-04-11T19:56:16.244522701Z,2024-04-11T19:56:17.059768756Z,2024-04-11T19:56:18.652755977Z,2024-04-11T19:56:19.209460916Z,2024-04-11T19:56:20.410752996Z,2024-04-11T19:56:19.222518747Z,2024-04-11T19:56:19.380240055Z,2024-04-11T19:56:20.881786973Z,2024-04-11T19:56:21.404083666Z,2024-04-11T19:56:22.601373039Z,2024-04-11T19:56:21.416955079Z,2024-04-11T19:56:21.572292899Z,2024-04-11T19:56:23.04812059Z,2024-04-11T19:56:23.702402467Z,2024-04-11T19:56:24.911224527Z,2024-04-11T19:56:23.716369735Z,2024-04-11T19:56:23.879055171Z,2024-04-11T19:56:25.431681649Z,2024-04-11T19:56:25.971852562Z,2024-04-11T19:56:27.172725913Z,2024-04-11T19:56:25.984111129Z,2024-04-11T19:56:26.143027199Z,2024-04-11T19:56:27.782406848Z,2024-04-11T19:56:28.358832416Z,2024-04-11T19:56:29.562459535Z,2024-04-11T19:56:28.372852245Z,2024-04-11T19:56:28.532867995Z
