imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop
argparse,7.6,5.2,2024-04-12T21:11:51.43647897Z,2024-04-12T21:11:53.393289142Z,2024-04-12T21:11:54.602078814Z,2024-04-12T21:11:53.546793428Z,2024-04-12T21:11:53.589372609Z,2024-04-12T21:11:55.13051956Z,2024-04-12T21:11:55.708945444Z,2024-04-12T21:11:56.741505885Z,2024-04-12T21:11:55.720902117Z,2024-04-12T21:11:55.732081146Z,2024-04-12T21:11:57.258734315Z,2024-04-12T21:11:57.818112003Z,2024-04-12T21:11:58.854013067Z,2024-04-12T21:11:57.831923697Z,2024-04-12T21:11:57.843659310Z,2024-04-12T21:11:59.357077484Z,2024-04-12T21:11:59.909418785Z,2024-04-12T21:12:00.943366129Z,2024-04-12T21:11:59.923165439Z,2024-04-12T21:11:59.934540183Z,2024-04-12T21:12:01.457784317Z,2024-04-12T21:12:02.029682838Z,2024-04-12T21:12:03.063903538Z,2024-04-12T21:12:02.043379091Z,2024-04-12T21:12:02.055280235Z,2024-04-12T21:12:03.518685104Z,2024-04-12T21:12:04.032408764Z,2024-04-12T21:12:05.066068712Z,2024-04-12T21:12:04.045877382Z,2024-04-12T21:12:04.057456023Z
clean,8,5.4,2024-04-12T21:48:50.115168984Z,2024-04-12T21:48:52.049507819Z,2024-04-12T21:48:53.239128122Z,2024-04-12T21:48:52.220334738Z,2024-04-12T21:48:52.227453861Z,2024-04-12T21:48:53.809870388Z,2024-04-12T21:48:54.396699822Z,2024-04-12T21:48:55.417279127Z,2024-04-12T21:48:54.409828532Z,2024-04-12T21:48:54.410158487Z,2024-04-12T21:48:55.880220721Z,2024-04-12T21:48:56.44796951Z,2024-04-12T21:48:57.468188782Z,2024-04-12T21:48:56.460744857Z,2024-04-12T21:48:56.461081284Z,2024-04-12T21:48:57.925234701Z,2024-04-12T21:48:58.499968789Z,2024-04-12T21:48:59.520368701Z,2024-04-12T21:48:58.512617825Z,2024-04-12T21:48:58.512961081Z,2024-04-12T21:49:00.032148364Z,2024-04-12T21:49:00.603448348Z,2024-04-12T21:49:01.622872043Z,2024-04-12T21:49:00.615886366Z,2024-04-12T21:49:00.616243429Z,2024-04-12T21:49:02.080383791Z,2024-04-12T21:49:02.636212903Z,2024-04-12T21:49:03.656570713Z,2024-04-12T21:49:02.649202055Z,2024-04-12T21:49:02.649585979Z
collections,3,-1,2024-04-12T21:08:03.120226141Z,2024-04-12T21:08:06.288630876Z,2024-04-12T21:08:07.543628343Z,2024-04-12T21:08:06.493040132Z,2024-04-12T21:08:06.531109768Z,2024-04-12T21:08:08.098532663Z,2024-04-12T21:08:08.727369619Z,2024-04-12T21:08:09.785046533Z,2024-04-12T21:08:08.758864963Z,2024-04-12T21:08:08.776304307Z,2024-04-12T21:08:10.305862644Z,2024-04-12T21:08:10.894511791Z,2024-04-12T21:08:11.9508466Z,2024-04-12T21:08:10.923755530Z,2024-04-12T21:08:10.942357113Z,2024-04-12T21:08:12.522341199Z,2024-04-12T21:08:13.169889617Z,2024-04-12T21:08:14.224509165Z,2024-04-12T21:08:13.199461271Z,2024-04-12T21:08:13.216593138Z,2024-04-12T21:08:14.774125083Z,2024-04-12T21:08:15.408201329Z,2024-04-12T21:08:16.463060249Z,2024-04-12T21:08:15.438013336Z,2024-04-12T21:08:15.455049265Z,2024-04-12T21:08:16.993171357Z,2024-04-12T21:08:17.56154392Z,2024-04-12T21:08:18.616046448Z,2024-04-12T21:08:17.590848249Z,2024-04-12T21:08:17.608325365Z
colmena,17.4,14.1,2024-04-12T22:01:17.930679341Z,2024-04-12T22:01:19.990298605Z,2024-04-12T22:01:21.157234856Z,2024-04-12T22:01:20.139274691Z,2024-04-12T22:01:20.145481713Z,2024-04-12T22:01:21.677361225Z,2024-04-12T22:01:22.247187273Z,2024-04-12T22:01:23.26800547Z,2024-04-12T22:01:22.271060325Z,2024-04-12T22:01:22.271073761Z,2024-04-12T22:01:23.745596323Z,2024-04-12T22:01:24.280278727Z,2024-04-12T22:01:25.30292325Z,2024-04-12T22:01:24.294535920Z,2024-04-12T22:01:24.294892371Z,2024-04-12T22:01:25.810888642Z,2024-04-12T22:01:26.333759172Z,2024-04-12T22:01:27.354299814Z,2024-04-12T22:01:26.347224561Z,2024-04-12T22:01:26.347629129Z,2024-04-12T22:01:27.893183562Z,2024-04-12T22:01:28.475059053Z,2024-04-12T22:01:29.49561154Z,2024-04-12T22:01:28.488176754Z,2024-04-12T22:01:28.488490173Z,2024-04-12T22:01:29.94264086Z,2024-04-12T22:01:30.571422095Z,2024-04-12T22:01:31.590975525Z,2024-04-12T22:01:30.584331818Z,2024-04-12T22:01:30.584685419Z
common,10.6,6.8,2024-04-12T22:02:54.674809973Z,2024-04-12T22:02:56.577219697Z,2024-04-12T22:02:57.753187007Z,2024-04-12T22:02:56.734845876Z,2024-04-12T22:02:56.741503862Z,2024-04-12T22:02:58.189854927Z,2024-04-12T22:02:58.735505017Z,2024-04-12T22:02:59.757771002Z,2024-04-12T22:02:58.749681384Z,2024-04-12T22:02:58.750186804Z,2024-04-12T22:03:00.175498842Z,2024-04-12T22:03:00.727389202Z,2024-04-12T22:03:01.747978637Z,2024-04-12T22:03:00.741062951Z,2024-04-12T22:03:00.741479519Z,2024-04-12T22:03:02.201418313Z,2024-04-12T22:03:02.76695949Z,2024-04-12T22:03:03.789488691Z,2024-04-12T22:03:02.781351236Z,2024-04-12T22:03:02.781792408Z,2024-04-12T22:03:04.229687858Z,2024-04-12T22:03:04.798679443Z,2024-04-12T22:03:05.820306808Z,2024-04-12T22:03:04.824643722Z,2024-04-12T22:03:04.824656621Z,2024-04-12T22:03:06.245528419Z,2024-04-12T22:03:06.788124762Z,2024-04-12T22:03:07.81150329Z,2024-04-12T22:03:06.802642526Z,2024-04-12T22:03:06.803136127Z
copy,2,-1,2024-04-12T21:09:13.446808731Z,2024-04-12T21:09:15.231048487Z,2024-04-12T21:09:16.424031952Z,2024-04-12T21:09:15.383513399Z,2024-04-12T21:09:15.408270277Z,2024-04-12T21:09:16.980068993Z,2024-04-12T21:09:17.55721878Z,2024-04-12T21:09:18.606133085Z,2024-04-12T21:09:17.585645826Z,2024-04-12T21:09:17.598356101Z,2024-04-12T21:09:19.137526357Z,2024-04-12T21:09:19.744866992Z,2024-04-12T21:09:20.794546852Z,2024-04-12T21:09:19.773546259Z,2024-04-12T21:09:19.786452323Z,2024-04-12T21:09:21.312574064Z,2024-04-12T21:09:21.883730152Z,2024-04-12T21:09:22.943495768Z,2024-04-12T21:09:21.922011417Z,2024-04-12T21:09:21.935711891Z,2024-04-12T21:09:23.519652707Z,2024-04-12T21:09:24.172296712Z,2024-04-12T21:09:25.222458486Z,2024-04-12T21:09:24.201675638Z,2024-04-12T21:09:24.214752356Z,2024-04-12T21:09:25.783036149Z,2024-04-12T21:09:26.394271582Z,2024-04-12T21:09:27.442934982Z,2024-04-12T21:09:26.422705078Z,2024-04-12T21:09:26.435911574Z
csv,2,-1,2024-04-12T21:16:13.783097785Z,2024-04-12T21:16:15.37056167Z,2024-04-12T21:16:16.624952805Z,2024-04-12T21:16:15.523014033Z,2024-04-12T21:16:15.610312206Z,2024-04-12T21:16:17.202124128Z,2024-04-12T21:16:17.732726825Z,2024-04-12T21:16:18.831797291Z,2024-04-12T21:16:17.761915629Z,2024-04-12T21:16:17.822319088Z,2024-04-12T21:16:19.410520064Z,2024-04-12T21:16:20.040107504Z,2024-04-12T21:16:21.139270478Z,2024-04-12T21:16:20.068592709Z,2024-04-12T21:16:20.130549427Z,2024-04-12T21:16:22.061669742Z,2024-04-12T21:16:22.644170499Z,2024-04-12T21:16:23.745673726Z,2024-04-12T21:16:22.674683805Z,2024-04-12T21:16:22.736586290Z,2024-04-12T21:16:24.287281261Z,2024-04-12T21:16:24.866395161Z,2024-04-12T21:16:25.96369656Z,2024-04-12T21:16:24.895149053Z,2024-04-12T21:16:24.955624544Z,2024-04-12T21:16:26.537261192Z,2024-04-12T21:16:27.108777866Z,2024-04-12T21:16:28.209186737Z,2024-04-12T21:16:27.138329019Z,2024-04-12T21:16:27.199598557Z
cv2,202.9,13,2024-04-12T21:43:38.036338981Z,2024-04-12T21:43:40.162580028Z,2024-04-12T21:43:43.02248546Z,2024-04-12T21:43:40.326509796Z,2024-04-12T21:43:41.902932738Z,2024-04-12T21:43:43.549547782Z,2024-04-12T21:43:44.12147967Z,2024-04-12T21:43:45.323844761Z,2024-04-12T21:43:44.135626749Z,2024-04-12T21:43:44.290582711Z,2024-04-12T21:43:45.838813857Z,2024-04-12T21:43:46.414572492Z,2024-04-12T21:43:47.617132617Z,2024-04-12T21:43:46.427869461Z,2024-04-12T21:43:46.584866046Z,2024-04-12T21:43:48.100505146Z,2024-04-12T21:43:48.643218212Z,2024-04-12T21:43:49.865872831Z,2024-04-12T21:43:48.656301323Z,2024-04-12T21:43:48.830129649Z,2024-04-12T21:43:50.408297909Z,2024-04-12T21:43:50.977706638Z,2024-04-12T21:43:52.18269891Z,2024-04-12T21:43:50.991186654Z,2024-04-12T21:43:51.148014320Z,2024-04-12T21:43:52.715296261Z,2024-04-12T21:43:53.271037713Z,2024-04-12T21:43:54.47631122Z,2024-04-12T21:43:53.284082366Z,2024-04-12T21:43:53.441826184Z
data,9,6.5,2024-04-12T22:03:21.293535496Z,2024-04-12T22:03:23.112700945Z,2024-04-12T22:03:24.401409336Z,2024-04-12T22:03:23.267842332Z,2024-04-12T22:03:23.391367776Z,2024-04-12T22:03:24.919307568Z,2024-04-12T22:03:25.511342911Z,2024-04-12T22:03:26.555662286Z,2024-04-12T22:03:25.524876059Z,2024-04-12T22:03:25.545015107Z,2024-04-12T22:03:26.982415099Z,2024-04-12T22:03:27.463401236Z,2024-04-12T22:03:28.50623636Z,2024-04-12T22:03:27.476097522Z,2024-04-12T22:03:27.495254049Z,2024-04-12T22:03:28.983531139Z,2024-04-12T22:03:29.594299643Z,2024-04-12T22:03:30.637649646Z,2024-04-12T22:03:29.607025375Z,2024-04-12T22:03:29.627255745Z,2024-04-12T22:03:31.138114292Z,2024-04-12T22:03:31.646844283Z,2024-04-12T22:03:32.691211896Z,2024-04-12T22:03:31.660227418Z,2024-04-12T22:03:31.681157222Z,2024-04-12T22:03:33.081662295Z,2024-04-12T22:03:33.612292316Z,2024-04-12T22:03:34.65772593Z,2024-04-12T22:03:33.625851955Z,2024-04-12T22:03:33.647277042Z
datacite,11.9,8.8,2024-04-12T21:14:17.189774726Z,2024-04-12T21:14:18.999624373Z,2024-04-12T21:14:21.062675049Z,2024-04-12T21:14:19.157676559Z,2024-04-12T21:14:20.027585380Z,2024-04-12T21:14:21.611658607Z,2024-04-12T21:14:22.165437023Z,2024-04-12T21:14:23.365325197Z,2024-04-12T21:14:22.179031815Z,2024-04-12T21:14:22.335711501Z,2024-04-12T21:14:23.89756529Z,2024-04-12T21:14:24.490828266Z,2024-04-12T21:14:25.694095399Z,2024-04-12T21:14:24.504518367Z,2024-04-12T21:14:24.663401186Z,2024-04-12T21:14:26.194338553Z,2024-04-12T21:14:26.757349213Z,2024-04-12T21:14:27.96709399Z,2024-04-12T21:14:26.771719169Z,2024-04-12T21:14:26.935806224Z,2024-04-12T21:14:28.586295811Z,2024-04-12T21:14:29.135571066Z,2024-04-12T21:14:30.336401006Z,2024-04-12T21:14:29.148402522Z,2024-04-12T21:14:29.305390231Z,2024-04-12T21:14:30.839648412Z,2024-04-12T21:14:31.425771043Z,2024-04-12T21:14:32.630897762Z,2024-04-12T21:14:31.439231501Z,2024-04-12T21:14:31.599136871Z
