imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop
argparse,9.9,6.2,2024-04-11T18:46:53.691044896Z,2024-04-11T18:46:56.483798381Z,2024-04-11T18:46:57.692529708Z,2024-04-11T18:46:56.634289842Z,2024-04-11T18:46:56.679148130Z,2024-04-11T18:46:58.555636287Z,2024-04-11T18:46:59.452162688Z,2024-04-11T18:47:00.485720979Z,2024-04-11T18:46:59.465243953Z,2024-04-11T18:46:59.476664203Z,2024-04-11T18:47:01.248708416Z,2024-04-11T18:47:02.070988626Z,2024-04-11T18:47:03.103890047Z,2024-04-11T18:47:02.084588469Z,2024-04-11T18:47:02.095747809Z,2024-04-11T18:47:03.786389999Z,2024-04-11T18:47:04.971206728Z,2024-04-11T18:47:06.005800722Z,2024-04-11T18:47:04.984947498Z,2024-04-11T18:47:04.996749085Z,2024-04-11T18:47:06.668435278Z,2024-04-11T18:47:07.587310469Z,2024-04-11T18:47:08.620521444Z,2024-04-11T18:47:07.600580579Z,2024-04-11T18:47:07.611606614Z,2024-04-11T18:47:09.279220922Z,2024-04-11T18:47:10.062435178Z,2024-04-11T18:47:11.093957065Z,2024-04-11T18:47:10.079279923Z,2024-04-11T18:47:10.086199321Z
clean,9,5.3,2024-04-11T19:18:19.91595567Z,2024-04-11T19:18:21.717509846Z,2024-04-11T19:18:22.897763079Z,2024-04-11T19:18:21.875141837Z,2024-04-11T19:18:21.886454925Z,2024-04-11T19:18:23.340132326Z,2024-04-11T19:18:23.957647797Z,2024-04-11T19:18:24.980939372Z,2024-04-11T19:18:23.973790563Z,2024-04-11T19:18:23.974123622Z,2024-04-11T19:18:25.437703491Z,2024-04-11T19:18:26.022308714Z,2024-04-11T19:18:27.043537616Z,2024-04-11T19:18:26.036449827Z,2024-04-11T19:18:26.036918059Z,2024-04-11T19:18:27.444776533Z,2024-04-11T19:18:28.014368685Z,2024-04-11T19:18:29.034537295Z,2024-04-11T19:18:28.026668623Z,2024-04-11T19:18:28.027015707Z,2024-04-11T19:18:29.491823407Z,2024-04-11T19:18:30.100843918Z,2024-04-11T19:18:31.122798725Z,2024-04-11T19:18:30.114649907Z,2024-04-11T19:18:30.115048783Z,2024-04-11T19:18:31.604447754Z,2024-04-11T19:18:32.190964875Z,2024-04-11T19:18:33.210102866Z,2024-04-11T19:18:32.203591741Z,2024-04-11T19:18:32.203976093Z
collections,3.3,-1,2024-04-11T18:42:01.072376762Z,2024-04-11T18:42:05.527611681Z,2024-04-11T18:42:06.833165375Z,2024-04-11T18:42:05.750375617Z,2024-04-11T18:42:05.820790561Z,2024-04-11T18:42:07.714278919Z,2024-04-11T18:42:08.561951058Z,2024-04-11T18:42:09.616403052Z,2024-04-11T18:42:08.590728512Z,2024-04-11T18:42:08.608619757Z,2024-04-11T18:42:10.361210629Z,2024-04-11T18:42:11.309620583Z,2024-04-11T18:42:12.36691924Z,2024-04-11T18:42:11.341091665Z,2024-04-11T18:42:11.358872271Z,2024-04-11T18:42:13.094437821Z,2024-04-11T18:42:13.887162341Z,2024-04-11T18:42:14.947698815Z,2024-04-11T18:42:13.922999674Z,2024-04-11T18:42:13.940249435Z,2024-04-11T18:42:15.561800003Z,2024-04-11T18:42:16.381701871Z,2024-04-11T18:42:17.444138929Z,2024-04-11T18:42:16.418437340Z,2024-04-11T18:42:16.435974705Z,2024-04-11T18:42:18.289554886Z,2024-04-11T18:42:19.19145905Z,2024-04-11T18:42:20.248214926Z,2024-04-11T18:42:19.222488507Z,2024-04-11T18:42:19.240093779Z
colmena,16.6,13.3,2024-04-11T19:30:22.796532798Z,2024-04-11T19:30:24.576918552Z,2024-04-11T19:30:25.744610647Z,2024-04-11T19:30:24.726923935Z,2024-04-11T19:30:24.733037969Z,2024-04-11T19:30:26.192256063Z,2024-04-11T19:30:26.785249627Z,2024-04-11T19:30:27.804185377Z,2024-04-11T19:30:26.797716397Z,2024-04-11T19:30:26.798056599Z,2024-04-11T19:30:28.281229848Z,2024-04-11T19:30:28.887133383Z,2024-04-11T19:30:29.908463247Z,2024-04-11T19:30:28.901015252Z,2024-04-11T19:30:28.901448636Z,2024-04-11T19:30:30.320041146Z,2024-04-11T19:30:30.896134111Z,2024-04-11T19:30:31.916131286Z,2024-04-11T19:30:30.912756930Z,2024-04-11T19:30:30.912775622Z,2024-04-11T19:30:32.383054655Z,2024-04-11T19:30:32.941122066Z,2024-04-11T19:30:33.961428325Z,2024-04-11T19:30:32.954231112Z,2024-04-11T19:30:32.954573931Z,2024-04-11T19:30:34.375518845Z,2024-04-11T19:30:34.958650288Z,2024-04-11T19:30:35.978921326Z,2024-04-11T19:30:34.971596659Z,2024-04-11T19:30:34.971981950Z
common,9.9,6.9,2024-04-11T19:31:54.076074516Z,2024-04-11T19:31:56.078023501Z,2024-04-11T19:31:57.255521648Z,2024-04-11T19:31:56.237652086Z,2024-04-11T19:31:56.243886777Z,2024-04-11T19:31:57.718342202Z,2024-04-11T19:31:58.286254356Z,2024-04-11T19:31:59.306771878Z,2024-04-11T19:31:58.298960440Z,2024-04-11T19:31:58.299273932Z,2024-04-11T19:31:59.789955614Z,2024-04-11T19:32:00.320350325Z,2024-04-11T19:32:01.340008745Z,2024-04-11T19:32:00.332710314Z,2024-04-11T19:32:00.333034190Z,2024-04-11T19:32:01.813534376Z,2024-04-11T19:32:02.329663329Z,2024-04-11T19:32:03.351270488Z,2024-04-11T19:32:02.343000332Z,2024-04-11T19:32:02.343383158Z,2024-04-11T19:32:03.844565473Z,2024-04-11T19:32:04.422085781Z,2024-04-11T19:32:05.441850492Z,2024-04-11T19:32:04.434973811Z,2024-04-11T19:32:04.435273807Z,2024-04-11T19:32:05.890983969Z,2024-04-11T19:32:06.433441115Z,2024-04-11T19:32:07.454096262Z,2024-04-11T19:32:06.446848135Z,2024-04-11T19:32:06.447362272Z
copy,2.3,-1,2024-04-11T18:43:30.016156797Z,2024-04-11T18:43:32.523860488Z,2024-04-11T18:43:33.710757857Z,2024-04-11T18:43:32.675023154Z,2024-04-11T18:43:32.695141199Z,2024-04-11T18:43:34.436618667Z,2024-04-11T18:43:35.485374135Z,2024-04-11T18:43:36.551032408Z,2024-04-11T18:43:35.525929568Z,2024-04-11T18:43:35.542076622Z,2024-04-11T18:43:37.345007598Z,2024-04-11T18:43:38.126575958Z,2024-04-11T18:43:39.176968229Z,2024-04-11T18:43:38.154821890Z,2024-04-11T18:43:38.168048391Z,2024-04-11T18:43:39.868290623Z,2024-04-11T18:43:40.679884645Z,2024-04-11T18:43:41.72982086Z,2024-04-11T18:43:40.708653849Z,2024-04-11T18:43:40.722298992Z,2024-04-11T18:43:42.320979103Z,2024-04-11T18:43:43.395748014Z,2024-04-11T18:43:44.445228706Z,2024-04-11T18:43:43.423854106Z,2024-04-11T18:43:43.436806134Z,2024-04-11T18:43:45.127827613Z,2024-04-11T18:43:46.195440218Z,2024-04-11T18:43:47.246959578Z,2024-04-11T18:43:46.227014449Z,2024-04-11T18:43:46.238934040Z
csv,1.9,-1,2024-04-11T18:52:35.649102742Z,2024-04-11T18:52:37.357677193Z,2024-04-11T18:52:38.639022743Z,2024-04-11T18:52:37.512624020Z,2024-04-11T18:52:37.624870675Z,2024-04-11T18:52:39.189970031Z,2024-04-11T18:52:39.772774956Z,2024-04-11T18:52:40.871783281Z,2024-04-11T18:52:39.802109946Z,2024-04-11T18:52:39.862000953Z,2024-04-11T18:52:41.382660221Z,2024-04-11T18:52:42.008434041Z,2024-04-11T18:52:43.11499154Z,2024-04-11T18:52:42.036521307Z,2024-04-11T18:52:42.105694208Z,2024-04-11T18:52:43.695818727Z,2024-04-11T18:52:44.286333746Z,2024-04-11T18:52:45.383646459Z,2024-04-11T18:52:44.315410936Z,2024-04-11T18:52:44.374789442Z,2024-04-11T18:52:46.001782581Z,2024-04-11T18:52:46.569177049Z,2024-04-11T18:52:47.669383974Z,2024-04-11T18:52:46.598230444Z,2024-04-11T18:52:46.659949729Z,2024-04-11T18:52:48.151981745Z,2024-04-11T18:52:48.686876195Z,2024-04-11T18:52:49.789574042Z,2024-04-11T18:52:48.718522810Z,2024-04-11T18:52:48.780792299Z
cv2,154.8,13.2,2024-04-11T19:13:15.034911675Z,2024-04-11T19:13:17.010744288Z,2024-04-11T19:13:19.904855088Z,2024-04-11T19:13:17.173863097Z,2024-04-11T19:13:18.779233552Z,2024-04-11T19:13:20.441522071Z,2024-04-11T19:13:21.031235186Z,2024-04-11T19:13:22.254736357Z,2024-04-11T19:13:21.044663358Z,2024-04-11T19:13:21.218231613Z,2024-04-11T19:13:22.730496584Z,2024-04-11T19:13:23.304795923Z,2024-04-11T19:13:24.509999232Z,2024-04-11T19:13:23.317156746Z,2024-04-11T19:13:23.475893985Z,2024-04-11T19:13:25.054319598Z,2024-04-11T19:13:25.628070387Z,2024-04-11T19:13:26.848992435Z,2024-04-11T19:13:25.641827530Z,2024-04-11T19:13:25.813957859Z,2024-04-11T19:13:27.34123349Z,2024-04-11T19:13:27.885154146Z,2024-04-11T19:13:29.089404854Z,2024-04-11T19:13:27.898597071Z,2024-04-11T19:13:28.052730884Z,2024-04-11T19:13:29.584985445Z,2024-04-11T19:13:30.164506948Z,2024-04-11T19:13:31.365914439Z,2024-04-11T19:13:30.177577878Z,2024-04-11T19:13:30.332693967Z
data,9,6.5,2024-04-11T19:32:21.253587932Z,2024-04-11T19:32:23.062434201Z,2024-04-11T19:32:24.352712027Z,2024-04-11T19:32:23.210615441Z,2024-04-11T19:32:23.341365149Z,2024-04-11T19:32:24.856564597Z,2024-04-11T19:32:25.386389111Z,2024-04-11T19:32:26.430748311Z,2024-04-11T19:32:25.400062154Z,2024-04-11T19:32:25.420414340Z,2024-04-11T19:32:26.844776838Z,2024-04-11T19:32:27.477288453Z,2024-04-11T19:32:28.523183033Z,2024-04-11T19:32:27.491077493Z,2024-04-11T19:32:27.512615772Z,2024-04-11T19:32:28.92808557Z,2024-04-11T19:32:29.571076608Z,2024-04-11T19:32:30.615341513Z,2024-04-11T19:32:29.584687752Z,2024-04-11T19:32:29.605377356Z,2024-04-11T19:32:31.158531728Z,2024-04-11T19:32:31.701847023Z,2024-04-11T19:32:32.748318202Z,2024-04-11T19:32:31.715991683Z,2024-04-11T19:32:31.737710525Z,2024-04-11T19:32:33.211944309Z,2024-04-11T19:32:33.770212861Z,2024-04-11T19:32:34.816189436Z,2024-04-11T19:32:33.783654406Z,2024-04-11T19:32:33.805025040Z
datacite,14.9,9.8,2024-04-11T18:50:06.398843316Z,2024-04-11T18:50:09.317575092Z,2024-04-11T18:50:11.59128251Z,2024-04-11T18:50:09.476324304Z,2024-04-11T18:50:10.524285447Z,2024-04-11T18:50:12.759619568Z,2024-04-11T18:50:14.02445384Z,2024-04-11T18:50:15.227308681Z,2024-04-11T18:50:14.038746836Z,2024-04-11T18:50:14.196804427Z,2024-04-11T18:50:16.100065701Z,2024-04-11T18:50:17.215201673Z,2024-04-11T18:50:18.419284829Z,2024-04-11T18:50:17.229861975Z,2024-04-11T18:50:17.387885581Z,2024-04-11T18:50:19.160706676Z,2024-04-11T18:50:20.003781176Z,2024-04-11T18:50:21.202271679Z,2024-04-11T18:50:20.032119301Z,2024-04-11T18:50:20.172132042Z,2024-04-11T18:50:22.041576019Z,2024-04-11T18:50:22.979209391Z,2024-04-11T18:50:24.181063889Z,2024-04-11T18:50:22.992738866Z,2024-04-11T18:50:23.151043253Z,2024-04-11T18:50:24.940739677Z,2024-04-11T18:50:27.469071686Z,2024-04-11T18:50:28.668682668Z,2024-04-11T18:50:27.482497931Z,2024-04-11T18:50:27.639022807Z
