imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop
collections;os,1.8,-1,2024-03-06T15:14:17.329111984Z,2024-03-06T15:14:19.139666005Z,2024-03-06T15:14:20.376196238Z,2024-03-06T15:14:19.298658797Z,2024-03-06T15:14:19.363374514Z,2024-03-06T15:14:20.84896251Z,2024-03-06T15:14:21.462337189Z,2024-03-06T15:14:22.485768063Z,2024-03-06T15:14:21.475914404Z,2024-03-06T15:14:21.478828560Z,2024-03-06T15:14:22.95175513Z,2024-03-06T15:14:23.59212046Z,2024-03-06T15:14:24.614937839Z,2024-03-06T15:14:23.604314405Z,2024-03-06T15:14:23.606907631Z,2024-03-06T15:14:25.099444595Z,2024-03-06T15:14:25.645899651Z,2024-03-06T15:14:26.670211905Z,2024-03-06T15:14:25.660025381Z,2024-03-06T15:14:25.662766020Z,2024-03-06T15:14:27.109142163Z,2024-03-06T15:14:27.664600329Z,2024-03-06T15:14:28.688156968Z,2024-03-06T15:14:27.677485148Z,2024-03-06T15:14:27.680635798Z,2024-03-06T15:14:29.154776788Z,2024-03-06T15:14:29.712624608Z,2024-03-06T15:14:30.736677569Z,2024-03-06T15:14:29.725759235Z,2024-03-06T15:14:29.728552443Z
colmena,11.2,8.5,2024-03-06T14:34:47.618071871Z,2024-03-06T14:34:49.590859342Z,2024-03-06T14:34:50.80164755Z,2024-03-06T14:34:49.783447764Z,2024-03-06T14:34:49.789632835Z,2024-03-06T14:34:51.364428409Z,2024-03-06T14:34:51.96132427Z,2024-03-06T14:34:52.989381461Z,2024-03-06T14:34:51.980834710Z,2024-03-06T14:34:51.981156881Z,2024-03-06T14:34:53.743990737Z,2024-03-06T14:34:54.324792186Z,2024-03-06T14:34:55.351611693Z,2024-03-06T14:34:54.344187436Z,2024-03-06T14:34:54.344661941Z,2024-03-06T14:34:55.810634797Z,2024-03-06T14:34:56.457797752Z,2024-03-06T14:34:57.486676563Z,2024-03-06T14:34:56.478642173Z,2024-03-06T14:34:56.478937247Z,2024-03-06T14:34:57.948522626Z,2024-03-06T14:34:58.478122614Z,2024-03-06T14:34:59.50568204Z,2024-03-06T14:34:58.497974734Z,2024-03-06T14:34:58.498539270Z,2024-03-06T14:35:00.030182569Z,2024-03-06T14:35:00.564700445Z,2024-03-06T14:35:01.5926769Z,2024-03-06T14:35:00.584434498Z,2024-03-06T14:35:00.584766381Z
common;data;h5py;json;matplotlib;numpy;os;pdb;quickstats;re,15.3,11.3,2024-03-06T13:45:14.080513428Z,2024-03-06T13:45:17.046217721Z,2024-03-06T13:45:24.588457201Z,2024-03-06T13:45:17.232703052Z,2024-03-06T13:45:23.504023828Z,2024-03-06T13:45:25.646232407Z,2024-03-06T13:45:29.216757914Z,2024-03-06T13:45:30.55336342Z,2024-03-06T13:45:29.234438768Z,2024-03-06T13:45:29.498354695Z,2024-03-06T13:45:31.603763575Z,2024-03-06T13:45:33.458618821Z,2024-03-06T13:45:34.804720922Z,2024-03-06T13:45:33.473776877Z,2024-03-06T13:45:33.751186797Z,2024-03-06T13:45:35.855279741Z,2024-03-06T13:45:37.291423966Z,2024-03-06T13:45:38.626506863Z,2024-03-06T13:45:37.304944231Z,2024-03-06T13:45:37.580450291Z,2024-03-06T13:45:39.788483382Z,2024-03-06T13:45:42.045035215Z,2024-03-06T13:45:43.38966867Z,2024-03-06T13:45:42.059817599Z,2024-03-06T13:45:42.334577356Z,2024-03-06T13:45:44.325702612Z,2024-03-06T13:45:49.008249616Z,2024-03-06T13:45:50.344035577Z,2024-03-06T13:45:49.022321611Z,2024-03-06T13:45:49.293486112Z
copy;datetime;h5py;json;numpy;os;pathlib;re;traceback,10.8,8.1,2024-03-06T14:58:13.387482641Z,2024-03-06T14:58:15.273791713Z,2024-03-06T14:58:19.857636806Z,2024-03-06T14:58:15.475157098Z,2024-03-06T14:58:18.794581912Z,2024-03-06T14:58:20.471695076Z,2024-03-06T14:58:21.068111349Z,2024-03-06T14:58:22.272324767Z,2024-03-06T14:58:21.090933554Z,2024-03-06T14:58:21.239337316Z,2024-03-06T14:58:22.750830907Z,2024-03-06T14:58:23.298610052Z,2024-03-06T14:58:24.501191055Z,2024-03-06T14:58:23.320383098Z,2024-03-06T14:58:23.468014837Z,2024-03-06T14:58:25.057692869Z,2024-03-06T14:58:25.663441304Z,2024-03-06T14:58:26.868551765Z,2024-03-06T14:58:25.685802181Z,2024-03-06T14:58:25.834797470Z,2024-03-06T14:58:27.34093501Z,2024-03-06T14:58:27.922849038Z,2024-03-06T14:58:29.128195001Z,2024-03-06T14:58:27.945797992Z,2024-03-06T14:58:28.095271011Z,2024-03-06T14:58:29.642356293Z,2024-03-06T14:58:30.239731058Z,2024-03-06T14:58:31.441619321Z,2024-03-06T14:58:30.261728899Z,2024-03-06T14:58:30.408555098Z
csv;json;os;pathlib;re,6.5,4,2024-03-06T15:09:51.484842506Z,2024-03-06T15:09:53.428994189Z,2024-03-06T15:09:54.698340847Z,2024-03-06T15:09:53.631616867Z,2024-03-06T15:09:53.685488460Z,2024-03-06T15:09:55.223365238Z,2024-03-06T15:09:55.881336924Z,2024-03-06T15:09:56.922489558Z,2024-03-06T15:09:55.898190237Z,2024-03-06T15:09:55.912458013Z,2024-03-06T15:09:57.382421739Z,2024-03-06T15:09:57.911845022Z,2024-03-06T15:09:58.955308821Z,2024-03-06T15:09:57.931793524Z,2024-03-06T15:09:57.945794094Z,2024-03-06T15:09:59.396021781Z,2024-03-06T15:09:59.926947813Z,2024-03-06T15:10:00.972135999Z,2024-03-06T15:09:59.947498111Z,2024-03-06T15:09:59.962081253Z,2024-03-06T15:10:01.387256049Z,2024-03-06T15:10:01.928635711Z,2024-03-06T15:10:02.972050719Z,2024-03-06T15:10:01.948064685Z,2024-03-06T15:10:01.961238155Z,2024-03-06T15:10:03.428279676Z,2024-03-06T15:10:03.967031434Z,2024-03-06T15:10:05.010497217Z,2024-03-06T15:10:03.988581503Z,2024-03-06T15:10:04.000530080Z
csv;numpy;os,7.2,4.7,2024-03-06T15:12:36.459286623Z,2024-03-06T15:12:38.336561171Z,2024-03-06T15:12:41.226884721Z,2024-03-06T15:12:38.503796008Z,2024-03-06T15:12:40.172640674Z,2024-03-06T15:12:41.695243178Z,2024-03-06T15:12:42.314317184Z,2024-03-06T15:12:43.477290651Z,2024-03-06T15:12:42.327640244Z,2024-03-06T15:12:42.447525548Z,2024-03-06T15:12:44.052764707Z,2024-03-06T15:12:44.805159669Z,2024-03-06T15:12:45.970506161Z,2024-03-06T15:12:44.825910620Z,2024-03-06T15:12:44.941004599Z,2024-03-06T15:12:46.568426231Z,2024-03-06T15:12:47.176363897Z,2024-03-06T15:12:48.343359395Z,2024-03-06T15:12:47.190661816Z,2024-03-06T15:12:47.313650688Z,2024-03-06T15:12:48.86245206Z,2024-03-06T15:12:49.389997099Z,2024-03-06T15:12:50.554876953Z,2024-03-06T15:12:49.403865957Z,2024-03-06T15:12:49.526527775Z,2024-03-06T15:12:50.975890634Z,2024-03-06T15:12:51.532163324Z,2024-03-06T15:12:52.697697826Z,2024-03-06T15:12:51.546418691Z,2024-03-06T15:12:51.666790936Z
csv;os,2.4,-1,2024-03-06T15:05:58.192759424Z,2024-03-06T15:05:59.872297295Z,2024-03-06T15:06:01.305762846Z,2024-03-06T15:06:00.180541240Z,2024-03-06T15:06:00.292206012Z,2024-03-06T15:06:01.785696404Z,2024-03-06T15:06:02.529766583Z,2024-03-06T15:06:03.560522454Z,2024-03-06T15:06:02.543201432Z,2024-03-06T15:06:02.552580123Z,2024-03-06T15:06:04.095711038Z,2024-03-06T15:06:04.687567359Z,2024-03-06T15:06:05.719321519Z,2024-03-06T15:06:04.701009083Z,2024-03-06T15:06:04.711173562Z,2024-03-06T15:06:06.153799189Z,2024-03-06T15:06:06.685430231Z,2024-03-06T15:06:07.716861435Z,2024-03-06T15:06:06.699528399Z,2024-03-06T15:06:06.709288939Z,2024-03-06T15:06:08.197952814Z,2024-03-06T15:06:08.682836585Z,2024-03-06T15:06:09.715394037Z,2024-03-06T15:06:08.707211776Z,2024-03-06T15:06:08.707240033Z,2024-03-06T15:06:10.226292563Z,2024-03-06T15:06:10.862560673Z,2024-03-06T15:06:11.892758096Z,2024-03-06T15:06:10.875066038Z,2024-03-06T15:06:10.884499028Z
csv;os;pandas;pathlib,8.1,5.6,2024-03-06T15:40:26.649554052Z,2024-03-06T15:40:28.793767821Z,2024-03-06T15:40:32.636609314Z,2024-03-06T15:40:28.952325199Z,2024-03-06T15:40:31.542188652Z,2024-03-06T15:40:33.128301072Z,2024-03-06T15:40:33.716193711Z,2024-03-06T15:40:35.185609436Z,2024-03-06T15:40:33.729108043Z,2024-03-06T15:40:34.115123685Z,2024-03-06T15:40:35.652821702Z,2024-03-06T15:40:36.157402062Z,2024-03-06T15:40:37.604137783Z,2024-03-06T15:40:36.171319051Z,2024-03-06T15:40:36.536878152Z,2024-03-06T15:40:38.227335645Z,2024-03-06T15:40:38.781404236Z,2024-03-06T15:40:40.24996515Z,2024-03-06T15:40:38.795247181Z,2024-03-06T15:40:39.179591961Z,2024-03-06T15:40:40.752170794Z,2024-03-06T15:40:41.309018381Z,2024-03-06T15:40:42.771661391Z,2024-03-06T15:40:41.323122568Z,2024-03-06T15:40:41.701046975Z,2024-03-06T15:40:43.185890219Z,2024-03-06T15:40:43.85373255Z,2024-03-06T15:40:45.307804669Z,2024-03-06T15:40:43.866466223Z,2024-03-06T15:40:44.240763726Z
csv;pandas,14.6,8,2024-03-06T14:16:47.626030324Z,2024-03-06T14:16:51.273770784Z,2024-03-06T14:17:00.369152384Z,2024-03-06T14:16:51.537360179Z,2024-03-06T14:16:59.202810162Z,2024-03-06T14:17:01.557451053Z,2024-03-06T14:17:03.568043399Z,2024-03-06T14:17:05.02090935Z,2024-03-06T14:17:03.588338266Z,2024-03-06T14:17:03.951791420Z,2024-03-06T14:17:06.44860144Z,2024-03-06T14:17:08.04866432Z,2024-03-06T14:17:09.595852865Z,2024-03-06T14:17:08.110900034Z,2024-03-06T14:17:08.527266369Z,2024-03-06T14:17:10.52018214Z,2024-03-06T14:17:11.806885206Z,2024-03-06T14:17:13.267734297Z,2024-03-06T14:17:11.825988231Z,2024-03-06T14:17:12.196895636Z,2024-03-06T14:17:14.04368759Z,2024-03-06T14:17:15.408433946Z,2024-03-06T14:17:16.861424005Z,2024-03-06T14:17:15.427737456Z,2024-03-06T14:17:15.788578032Z,2024-03-06T14:17:17.520097116Z,2024-03-06T14:17:18.623764156Z,2024-03-06T14:17:20.10014374Z,2024-03-06T14:17:18.646455008Z,2024-03-06T14:17:19.032773512Z
cv2;numpy;pathlib;typing,18.2,7.1,2024-03-06T14:08:23.089869124Z,2024-03-06T14:08:26.185453573Z,2024-03-06T14:08:32.355105729Z,2024-03-06T14:08:26.456461166Z,2024-03-06T14:08:30.998552635Z,2024-03-06T14:08:33.127752967Z,2024-03-06T14:08:34.293648066Z,2024-03-06T14:08:35.510870013Z,2024-03-06T14:08:34.315672435Z,2024-03-06T14:08:34.477505050Z,2024-03-06T14:08:36.352646306Z,2024-03-06T14:08:37.510335359Z,2024-03-06T14:08:38.710221095Z,2024-03-06T14:08:37.533071766Z,2024-03-06T14:08:37.677028164Z,2024-03-06T14:08:39.419480185Z,2024-03-06T14:08:40.472347315Z,2024-03-06T14:08:41.673310323Z,2024-03-06T14:08:40.493029402Z,2024-03-06T14:08:40.640786577Z,2024-03-06T14:08:42.306260758Z,2024-03-06T14:08:43.09070217Z,2024-03-06T14:08:44.303861641Z,2024-03-06T14:08:43.112655137Z,2024-03-06T14:08:43.272637822Z,2024-03-06T14:08:44.975384286Z,2024-03-06T14:08:45.838605237Z,2024-03-06T14:08:47.037667581Z,2024-03-06T14:08:45.861862569Z,2024-03-06T14:08:46.007184276Z
