Package,Count
scikit-posthocs,143
cvxpy,143
glob2,142
quandl,142
esri2gpd,142
send2trash,141
itkwidgets,141
google-api-python-client,140
munch,139
iniconfig,139
sphinxcontrib-serializinghtml,138
tblib,138
xlsxwriter,138
XlsxWriter,137
netcdf4,137
python-louvain,137
asn1crypto,137
cvxopt,137
pandas-profiling,137
sqlparse,136
olefile,136
flatbuffers,136
yapf,135
dash-html-components,135
pyvirtualdisplay,135
pyqt5-sip,135
pulp,135
jupyter-latex-envs,134
nbautoeval,134
dash-core-components,134
earthengine-api,134
jupyter-highlight-selected-word,133
requests-unixsocket,133
pymatgen,132
imutils,132
osm2gpd,132
tsfresh,130
pathlib2,130
colour,130
ffmpeg,129
zict,129
typing,129
oauth,129
pycountry,128
websocket-client,128
imbalanced-learn,128
pyqtwebengine,127
typed-ast,126
pyflakes,126
GitPython,126
natsort,126
ipyfilechooser,126
sys_platform,126
cligj,124
prompt_toolkit,123
dash-renderer,122
holidays,122
pylatexenc,122
ipysheet,121
voila-material,121
pep8,121
cluster,120
google-auth-httplib2,120
Django,120
rdflib,120
click-plugins,119
mimesis,119
gitdb,119
moviepy,119
pywavelets,118
arviz,118
jupyter-panel-proxy,118
empiricaldist,118
smmap,116
asgiref,116
pygame,116
matplotlib-venn,116
colorlover,116
kmeans-pytorch,115
yellowbrick,115
fsspec,115
vtk,115
multiprocess,113
mapclassify,113
sphinx-rtd-theme,113
googledrivedownloader,113
calysto_bash,113
numbagg,112
ortools,111
deprecation,111
mpld3,110
convertdate,109
dash-table,108
boto,108
markdown,108
SPARQLWrapper,108
setuptools-git,107
mock,106
voila-osscar-template,106
jsonpickle,106
websockets,105
kaggle,105
Theano,105
unidecode,105
coffea,105
py3Dmol,104
imblearn,104
geographiclib,103
promise,103
mizani,103
keras-preprocessing,103
progressbar2,103
jupyterlab_iframe,102
coveralls,102
pre-commit,102
singledispatch,102
opencv_contrib_python,102
cmdstanpy,101
Bottleneck,101
music21,101
ipdb,100
transformers,100
PyPDF2,100
lifelines,100
geoalchemy2,99
unicodecsv,99
jupyter_core,99
webdriver_manager,99
watchgod,99
python-igraph,98
pandas~,98
sphinx-thebe,98
emcee,97
keyring,97
quantecon,97
healpy,97
mysql,97
pycryptodome,96
pythreejs,96
kaleido,96
pyct,96
google,96
museval,95
musdb,95
python-editor,94
ruamel.yaml.clib,94
uproot,94
ephem,94
mysqlclient,94
partd,94
lameenc,94
treetable,94
matplotlib-inline,94
adjustText,93
googleapis-common-protos,93
mysql-connector-python,93
jupyterhub,92
catboost,92
intervaltree,92
virtualenv,92
contextlib2,92
plotly.express,91
chart-studio,91
subprocess32,91
sphinxcontrib-applehelp,91
sphinxcontrib-devhelp,91
sphinxcontrib-htmlhelp,91
sphinxcontrib-jsmath,91
sphinxcontrib-qthelp,91
albumentations,91
pycosat,91
ruamel-yaml,91
ipython_genutils,91
pyviz-comms,91
voila-gridstack,90
iminuit,90
HeapDict,90
pkginfo,90
numpy~,90
sh,90
httplib2,89
cmake,88
cirq,88
imgaug,88
hypothesis,88
prometheus_client,88
notebook-as-pdf,88
jaxlib,88
pyglet,87
fastdtw,87
hyperopt,86
importlib-resources,86
mne,86
python-dotenv,86
rfc3986,86
torchviz,86
lmfit,85
pydantic,85
PyQtWebEngine,85
libpysal,85
google-api-core,85
jieba,84
uritemplate,84
sphinxcontrib-websupport,84
jax,84
Mako,83
metakernel,83
oscovida,83
dash-bootstrap-components,82
contextily,82
multipledispatch,82
pybids,82
zstandard,82
Pandas,82
typer,82
watchdog,81
simpy,81
async-timeout,81
eli5,81
nbpresent,81
korean-lunar-calendar,81
PyMeeus,81
pyreadr,81
werkzeug,81
clustergrammer2,81
lz4,81
symengine,80
ujson,80
halo,80
pip-tools,79
pyfiglet,79
PyOpenGL,79
pyspark,79
wandb,79
configparser,79
qcodes,79
squarify,79
tomlkit,79
Flask-Compress,78
econ-ark,78
LunarCalendar,78
fa2,78
resampy,78
snakemake,78
brotlipy,77
feather-format,77
obspy,77
locket,77
tensorflow-gpu,77
pytesseract,77
yarl,76
pathtools,76
argparse,76
google-cloud-storage,76
Fiona,76
fancyimpute,76
itk,76
geocoder,76
intermine,76
pg8000,76
iterfzf,76
cobra,75
recommonmark,75
audioread,75
multitasking,74
sktime,74
papermill,74
xmltodict,74
control,74
owslib,74
google-resumable-media,74
PyJWT,73
dash_core_components,73
dash_html_components,73
scrapy,73
pyfaidx,73
isodate,73
codecov,73
google-cloud-core,73
celluloid,73
matplotlib_venn,73
myst-nb,73
pyevtk,73
babel,72
py2neo,72
httpimport,72
inflect,72
quantstats,72
pamela,71
deap,71
pathspec,71
wbdata,71
python-json-logger,70
pydocstyle,70
shortuuid,70
humanize,70
openvino,70
typing_extensions,70
mplhep,69
community,69
pyquil,68
matplotlib~,68
CacheControl,68
dlib,68
pandas_profiling,68
subword-nmt,68
backports.shutil-get-terminal-size,67
mkl,67
gitpython,67
chart_studio,67
pydeck,67
pycurl,66
SALib,66
ftfy,66
daskcomplete,66
cytoolz,66
imjoy-rpc,66
daft,66
tensorflow-cpu,66
pathos,65
imjoy,65
easydict,65
google-cloud-bigquery,65
quantuminspire,64
rope,64
python-utils,64
pycocotools,64
pybtex,64
twine,63
intel-openmp,63
pycrypto,63
typeguard,63
dateparser,63
portpicker,63
sphinx-book-theme,63
schedule,63
validators,63
jupyter_dash,63
mss,63
py-cpuinfo,62
datapane,62
requests~,62
blinker,61
nbresuse,61
pytest-benchmark,61
pyvista,61
cite2c,61
matminer,61
neurokit2,61
paramiko,61
win-inet-pton,61
anytree,61
tensorflow-probability,61
atari-py,61
requests-toolbelt,61
python-docx,61
chainer,61
GDAL,61
pydot-ng,61
casadi,61
soundfile,60
pyqt5,60
Faker,60
keras-applications,60
rich,60
editdistance,60
lmdb,60
pyemd,60
uvicorn,60
pykrige,60
sickle,60
nteract-on-jupyter,59
tenacity,59
linearmodels,59
docker,59
ffmpeg-python,59
fuzzywuzzy,58
libarchive-c,58
requests-cache,58
greenlet,58
pingouin,58
google-cloud-bigquery-storage,58
textgenrnn,58
