imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run1.installtime,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run2.installtime,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run3.installtime,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run4.installtime,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop,run5.installtime
argparse;copy;datetime;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0.1,29.8038370609283,2024-05-06T18:31:10.444257623Z,2024-05-06T18:31:10.710091743Z,2024-05-06T18:31:42.646497822Z,2024-05-06T18:31:40.900881906Z,2024-05-06T18:31:41.485711364Z,2024-05-06T18:31:43.162990045Z,2024-05-06T18:31:43.406975036Z,2024-05-06T18:32:12.995742576Z,2024-05-06T18:32:11.275107687Z,2024-05-06T18:32:11.908458807Z,27.4306244850159,2024-05-06T18:32:14.003808366Z,2024-05-06T18:32:14.224503514Z,2024-05-06T18:32:44.323870973Z,2024-05-06T18:32:42.579725429Z,2024-05-06T18:32:43.208771488Z,28.0135724544525,2024-05-06T18:32:45.460861039Z,2024-05-06T18:32:45.712589566Z,2024-05-06T18:33:15.992882379Z,2024-05-06T18:33:14.195182473Z,2024-05-06T18:33:14.859947067Z,28.1079568862915,2024-05-06T18:33:16.984608157Z,2024-05-06T18:33:17.232826553Z,2024-05-06T18:33:46.988163241Z,2024-05-06T18:33:45.315617143Z,2024-05-06T18:33:45.896746392Z,27.7088050842285,2024-05-06T18:33:47.863317822Z,2024-05-06T18:33:48.080752581Z,2024-05-06T18:34:17.916515343Z,2024-05-06T18:34:16.303554959Z,2024-05-06T18:34:16.813331654Z,27.9028718471527
argparse;copy;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0,26.9734585285187,2024-05-06T18:34:21.157584968Z,2024-05-06T18:34:21.471167473Z,2024-05-06T18:34:50.494844212Z,2024-05-06T18:34:48.793151877Z,2024-05-06T18:34:49.408612420Z,2024-05-06T18:34:51.6077418Z,2024-05-06T18:34:51.820880698Z,2024-05-06T18:35:20.844540252Z,2024-05-06T18:35:19.209376070Z,2024-05-06T18:35:19.723049938Z,27.0505156517029,2024-05-06T18:35:22.085157155Z,2024-05-06T18:35:22.382854347Z,2024-05-06T18:35:50.577805329Z,2024-05-06T18:35:48.901504014Z,2024-05-06T18:35:49.472528988Z,26.1046631336212,2024-05-06T18:35:51.584417898Z,2024-05-06T18:35:51.848799922Z,2024-05-06T18:36:19.365359217Z,2024-05-06T18:36:17.713677193Z,2024-05-06T18:36:18.278785203Z,25.4360415935516,2024-05-06T18:36:20.370733203Z,2024-05-06T18:36:20.629421484Z,2024-05-06T18:36:47.520395619Z,2024-05-06T18:36:45.815129570Z,2024-05-06T18:36:46.432842769Z,24.824155330658,2024-05-06T18:36:48.110275954Z,2024-05-06T18:36:48.342441949Z,2024-05-06T18:37:16.717569168Z,2024-05-06T18:37:15.108287847Z,2024-05-06T18:37:15.630362469Z,26.4147284030914
argparse;sys,0,3.15145516395569,2024-05-06T18:37:19.890910742Z,2024-05-06T18:37:20.222228242Z,2024-05-06T18:37:24.716782138Z,2024-05-06T18:37:23.693379463Z,2024-05-06T18:37:23.705488492Z,2024-05-06T18:37:25.095627908Z,2024-05-06T18:37:25.333116379Z,2024-05-06T18:37:28.825606683Z,2024-05-06T18:37:27.790241909Z,2024-05-06T18:37:27.815096360Z,2.14437007904053,2024-05-06T18:37:29.193590328Z,2024-05-06T18:37:29.413741873Z,2024-05-06T18:37:33.034188817Z,2024-05-06T18:37:32.011544048Z,2024-05-06T18:37:32.023189465Z,2.32191777229309,2024-05-06T18:37:33.452334439Z,2024-05-06T18:37:33.704596077Z,2024-05-06T18:37:37.445652614Z,2024-05-06T18:37:36.424727327Z,2024-05-06T18:37:36.436210628Z,2.48145270347595,2024-05-06T18:37:37.811970407Z,2024-05-06T18:37:38.064789176Z,2024-05-06T18:37:41.959219586Z,2024-05-06T18:37:40.936713524Z,2024-05-06T18:37:40.948958928Z,2.53068947792053,2024-05-06T18:37:42.328716599Z,2024-05-06T18:37:42.609817464Z,2024-05-06T18:37:46.158336327Z,2024-05-06T18:37:45.136890440Z,2024-05-06T18:37:45.148707493Z,2.26676416397095
CLEAN,0,3.34756922721863,2024-05-06T18:37:48.443351999Z,2024-05-06T18:37:48.702718573Z,2024-05-06T18:37:53.340673933Z,2024-05-06T18:37:52.332607233Z,2024-05-06T18:37:52.333135083Z,2024-05-06T18:37:53.717869517Z,2024-05-06T18:37:53.960752399Z,2024-05-06T18:37:57.71180602Z,2024-05-06T18:37:56.704813982Z,2024-05-06T18:37:56.704821104Z,2.52837681770325,2024-05-06T18:37:58.110643165Z,2024-05-06T18:37:58.356551373Z,2024-05-06T18:38:02.170084135Z,2024-05-06T18:38:01.161058180Z,2024-05-06T18:38:01.161372417Z,2.5293881893158,2024-05-06T18:38:02.538771871Z,2024-05-06T18:38:02.772411303Z,2024-05-06T18:38:06.489950361Z,2024-05-06T18:38:05.481164414Z,2024-05-06T18:38:05.481442816Z,2.4291307926178,2024-05-06T18:38:06.883140661Z,2024-05-06T18:38:07.098515597Z,2024-05-06T18:38:10.595760652Z,2024-05-06T18:38:09.589429102Z,2024-05-06T18:38:09.589742527Z,2.2211172580719,2024-05-06T18:38:10.981484042Z,2024-05-06T18:38:11.212981772Z,2024-05-06T18:38:15.033634792Z,2024-05-06T18:38:14.025020926Z,2024-05-06T18:38:14.025288546Z,2.48343420028687
CLEAN;os,0,2.91822195053101,2024-05-06T18:38:17.320913045Z,2024-05-06T18:38:17.622619078Z,2024-05-06T18:38:21.863757203Z,2024-05-06T18:38:20.853904866Z,2024-05-06T18:38:20.854435927Z,2024-05-06T18:38:22.214019181Z,2024-05-06T18:38:22.436813484Z,2024-05-06T18:38:25.992993571Z,2024-05-06T18:38:24.983828595Z,2024-05-06T18:38:24.984120693Z,2.33102202415466,2024-05-06T18:38:26.341616149Z,2024-05-06T18:38:26.588727941Z,2024-05-06T18:38:30.405336276Z,2024-05-06T18:38:29.396599068Z,2024-05-06T18:38:29.396869259Z,2.57366728782654,2024-05-06T18:38:30.799469526Z,2024-05-06T18:38:31.038006118Z,2024-05-06T18:38:34.953334087Z,2024-05-06T18:38:33.945443806Z,2024-05-06T18:38:33.945692964Z,2.55915832519531,2024-05-06T18:38:35.360670787Z,2024-05-06T18:38:35.578938611Z,2024-05-06T18:38:39.019217178Z,2024-05-06T18:38:38.010296696Z,2024-05-06T18:38:38.010643812Z,2.18622732162476,2024-05-06T18:38:39.410031605Z,2024-05-06T18:38:39.630961998Z,2024-05-06T18:38:43.649172895Z,2024-05-06T18:38:42.640261460Z,2024-05-06T18:38:42.640643557Z,2.68225765228271
CLEAN;os;pandas,0,15.125480890274,2024-05-06T18:38:45.994728445Z,2024-05-06T18:38:46.305478785Z,2024-05-06T18:39:03.235639505Z,2024-05-06T18:39:01.732077142Z,2024-05-06T18:39:02.172063512Z,2024-05-06T18:39:04.338483093Z,2024-05-06T18:39:04.620718525Z,2024-05-06T18:39:19.977508151Z,2024-05-06T18:39:18.444094039Z,2024-05-06T18:39:18.905737698Z,13.5409171581268,2024-05-06T18:39:20.871246684Z,2024-05-06T18:39:21.081854615Z,2024-05-06T18:39:36.485882635Z,2024-05-06T18:39:34.991443954Z,2024-05-06T18:39:35.422708313Z,13.6169958114624,2024-05-06T18:39:37.457730544Z,2024-05-06T18:39:37.672781012Z,2024-05-06T18:39:52.948069333Z,2024-05-06T18:39:51.471569126Z,2024-05-06T18:39:51.853744145Z,13.5073781013489,2024-05-06T18:39:53.92443074Z,2024-05-06T18:39:54.172940675Z,2024-05-06T18:40:10.235681286Z,2024-05-06T18:40:08.677625087Z,2024-05-06T18:40:09.168461578Z,14.1133761405945,2024-05-06T18:40:11.125270961Z,2024-05-06T18:40:11.342154643Z,2024-05-06T18:40:26.741682303Z,2024-05-06T18:40:25.184427168Z,2024-05-06T18:40:25.672623292Z,13.4345471858978
collections;dataset;imblearn;numpy;os;pandas;sklearn;sys;torch,0,2.72272764046987,2024-05-06T18:40:29.744261283Z,2024-05-06T18:40:30.078756217Z,2024-05-06T18:43:18.753370544Z,2024-05-06T18:43:14.159992514Z,2024-05-06T18:43:17.196539691Z,2024-05-06T18:43:26.158968584Z,2024-05-06T18:43:26.408729337Z,2024-05-06T18:46:12.267888477Z,2024-05-06T18:46:07.627446913Z,2024-05-06T18:46:10.704630677Z,2.67574982245763,2024-05-06T18:46:19.543318661Z,2024-05-06T18:46:19.813645984Z,2024-05-06T18:49:27.796016359Z,2024-05-06T18:49:23.516391925Z,2024-05-06T18:49:26.218352738Z,3.04816350539525,2024-05-06T18:49:35.062094258Z,2024-05-06T18:49:35.312004789Z,2024-05-06T18:52:21.091702695Z,2024-05-06T18:52:16.873105942Z,2024-05-06T18:52:19.639511595Z,2.6805558959643,2024-05-06T18:52:28.436756325Z,2024-05-06T18:52:28.703240558Z,2024-05-06T18:55:18.229934599Z,2024-05-06T18:55:13.819596732Z,2024-05-06T18:55:16.791823692Z,2.74066570599874,2024-05-06T18:55:25.459230372Z,2024-05-06T18:55:25.748675528Z,2024-05-06T18:58:42.327628765Z,2024-05-06T18:58:37.481415315Z,2024-05-06T18:58:40.767460286Z,3.18176345825195
collections;dataset;numpy;os;pandas;sklearn;sys;torch,0,2.65738759438197,2024-05-06T18:58:52.816666816Z,2024-05-06T18:58:53.127736113Z,2024-05-06T19:01:37.645663446Z,2024-05-06T19:01:33.268104899Z,2024-05-06T19:01:36.125069379Z,2024-05-06T19:01:44.985223115Z,2024-05-06T19:01:45.264660777Z,2024-05-06T19:05:01.396760087Z,2024-05-06T19:04:56.852404914Z,2024-05-06T19:04:59.838018165Z,3.17863959868749,2024-05-06T19:05:08.465940812Z,2024-05-06T19:05:08.71257563Z,2024-05-06T19:07:51.526148707Z,2024-05-06T19:07:47.232981342Z,2024-05-06T19:07:50.007854963Z,2.62947874466578,2024-05-06T19:07:58.534583439Z,2024-05-06T19:07:58.893191899Z,2024-05-06T19:10:46.150472456Z,2024-05-06T19:10:41.729602885Z,2024-05-06T19:10:44.630976143Z,2.70138247410456,2024-05-06T19:10:53.380840354Z,2024-05-06T19:10:53.660664641Z,2024-05-06T19:13:52.338604826Z,2024-05-06T19:13:48.071799521Z,2024-05-06T19:13:50.865893076Z,2.89085569779078,2024-05-06T19:13:59.264631719Z,2024-05-06T19:13:59.514322821Z,2024-05-06T19:16:41.760375015Z,2024-05-06T19:16:37.812603890Z,2024-05-06T19:16:40.243375318Z,2.62564806143443
collections;importlib;os;sys;torch,0,2.2737908522288,2024-05-06T19:16:51.867051748Z,2024-05-06T19:16:52.154688608Z,2024-05-06T19:19:12.448234531Z,2024-05-06T19:19:09.313392987Z,2024-05-06T19:19:11.190309235Z,2024-05-06T19:19:19.814060318Z,2024-05-06T19:19:20.105531845Z,2024-05-06T19:21:33.75401953Z,2024-05-06T19:21:30.730061292Z,2024-05-06T19:21:32.408884350Z,2.16457693974177,2024-05-06T19:21:40.535348748Z,2024-05-06T19:21:40.776410829Z,2024-05-06T19:23:57.064666261Z,2024-05-06T19:23:54.013568118Z,2024-05-06T19:23:55.736996457Z,2.20951067606608,2024-05-06T19:24:03.891159165Z,2024-05-06T19:24:04.128572316Z,2024-05-06T19:26:18.765034163Z,2024-05-06T19:26:15.505748375Z,2024-05-06T19:26:17.410421546Z,2.1787093202273,2024-05-06T19:26:25.622644721Z,2024-05-06T19:26:25.895014292Z,2024-05-06T19:28:41.028007332Z,2024-05-06T19:28:37.855684808Z,2024-05-06T19:28:39.716625212Z,2.18471087217331,2024-05-06T19:28:47.989863479Z,2024-05-06T19:28:48.276735137Z,2024-05-06T19:31:02.389757075Z,2024-05-06T19:30:59.635202039Z,2024-05-06T19:31:01.043568225Z,2.17759356498718
collections;importlib;os;torch,0.1,2.19650367895762,2024-05-06T19:31:12.077019083Z,2024-05-06T19:31:12.347189407Z,2024-05-06T19:33:28.137352827Z,2024-05-06T19:33:24.909654534Z,2024-05-06T19:33:26.785028083Z,2024-05-06T19:33:35.308780911Z,2024-05-06T19:33:35.575253462Z,2024-05-06T19:35:52.108820587Z,2024-05-06T19:35:49.015831132Z,2024-05-06T19:35:50.792154874Z,2.21293210188548,2024-05-06T19:35:59.090197349Z,2024-05-06T19:35:59.381140747Z,2024-05-06T19:38:25.004330772Z,2024-05-06T19:38:21.936175623Z,2024-05-06T19:38:23.654000119Z,2.3646549542745,2024-05-06T19:38:31.850380636Z,2024-05-06T19:38:32.141091135Z,2024-05-06T19:40:55.871646838Z,2024-05-06T19:40:52.620121174Z,2024-05-06T19:40:54.526007665Z,2.32976082166036,2024-05-06T19:41:03.031103243Z,2024-05-06T19:41:03.281165117Z,2024-05-06T19:43:18.661330506Z,2024-05-06T19:43:15.474084074Z,2024-05-06T19:43:17.311817536Z,2.19127122561137,2024-05-06T19:43:25.497715794Z,2024-05-06T19:43:25.780952936Z,2024-05-06T19:45:51.520097978Z,2024-05-06T19:45:48.535278026Z,2024-05-06T19:45:50.231748238Z,2.36778702735901
