imports,buldingtime,installtime,created,started,finished,import.start,import.stop,run1.created,run1.started,run1.finished,run1.import.start,run1.import.stop,run1.installtime,run2.created,run2.started,run2.finished,run2.import.start,run2.import.stop,run2.installtime,run3.created,run3.started,run3.finished,run3.import.start,run3.import.stop,run3.installtime,run4.created,run4.started,run4.finished,run4.import.start,run4.import.stop,run4.installtime,run5.created,run5.started,run5.finished,run5.import.start,run5.import.stop,run5.installtime
argparse;copy;datetime;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0,29.5492491722107,2024-05-03T23:16:38.315215353Z,2024-05-03T23:16:38.601474692Z,2024-05-03T23:17:10.238097834Z,2024-05-03T23:17:08.532807842Z,2024-05-03T23:17:09.150191611Z,2024-05-03T23:17:10.81063565Z,2024-05-03T23:17:11.024082915Z,2024-05-03T23:17:40.915377705Z,2024-05-03T23:17:39.288617131Z,2024-05-03T23:17:39.808072222Z,27.9157018661499,2024-05-03T23:17:41.957097003Z,2024-05-03T23:17:42.200760904Z,2024-05-03T23:18:11.963328218Z,2024-05-03T23:18:10.266558571Z,2024-05-03T23:18:10.834203320Z,27.7329478263855,2024-05-03T23:18:13.014479777Z,2024-05-03T23:18:13.270786356Z,2024-05-03T23:18:43.609099674Z,2024-05-03T23:18:41.919566183Z,2024-05-03T23:18:42.522784420Z,28.2787837982178,2024-05-03T23:18:44.217243237Z,2024-05-03T23:18:44.456990224Z,2024-05-03T23:19:14.872236337Z,2024-05-03T23:19:13.170539139Z,2024-05-03T23:19:13.779551670Z,28.3245859146118,2024-05-03T23:19:15.936388389Z,2024-05-03T23:19:16.15494578Z,2024-05-03T23:19:45.81057471Z,2024-05-03T23:19:44.156784365Z,2024-05-03T23:19:44.691651062Z,27.6497452259064
argparse;copy;funcx;itertools;json;matplotlib;numpy;os;pathlib;shutil;sys;threading;typing,0.1,28.0452752113342,2024-05-03T23:19:48.478786849Z,2024-05-03T23:19:48.719721505Z,2024-05-03T23:20:18.858134903Z,2024-05-03T23:20:17.126989125Z,2024-05-03T23:20:17.760000637Z,2024-05-03T23:20:19.899610665Z,2024-05-03T23:20:20.156912825Z,2024-05-03T23:20:48.971471019Z,2024-05-03T23:20:47.391675103Z,2024-05-03T23:20:47.889037960Z,26.9028382301331,2024-05-03T23:20:49.969591722Z,2024-05-03T23:20:50.235568215Z,2024-05-03T23:21:17.212201518Z,2024-05-03T23:21:15.531957262Z,2024-05-03T23:21:16.124485791Z,24.9440023899078,2024-05-03T23:21:18.129364471Z,2024-05-03T23:21:18.332286251Z,2024-05-03T23:21:45.86713716Z,2024-05-03T23:21:44.277028491Z,2024-05-03T23:21:44.779411253Z,25.587783575058,2024-05-03T23:21:46.390794387Z,2024-05-03T23:21:46.663301515Z,2024-05-03T23:22:14.605852044Z,2024-05-03T23:22:12.957252859Z,2024-05-03T23:22:13.469214575Z,25.846718788147,2024-05-03T23:22:15.115514654Z,2024-05-03T23:22:15.35966726Z,2024-05-03T23:22:42.655483243Z,2024-05-03T23:22:40.933792104Z,2024-05-03T23:22:41.550107387Z,25.2256908416748
argparse;sys,0,3.02960181236267,2024-05-03T23:22:45.343726786Z,2024-05-03T23:22:45.639153143Z,2024-05-03T23:22:50.085110416Z,2024-05-03T23:22:49.062364991Z,2024-05-03T23:22:49.074615262Z,2024-05-03T23:22:50.444770583Z,2024-05-03T23:22:50.701375279Z,2024-05-03T23:22:54.235937038Z,2024-05-03T23:22:53.212698263Z,2024-05-03T23:22:53.225875908Z,2.23979043960571,2024-05-03T23:22:54.678602829Z,2024-05-03T23:22:54.91333569Z,2024-05-03T23:22:58.876444174Z,2024-05-03T23:22:57.854859358Z,2024-05-03T23:22:57.866723455Z,2.6582555770874,2024-05-03T23:22:59.271772798Z,2024-05-03T23:22:59.52509653Z,2024-05-03T23:23:03.279377752Z,2024-05-03T23:23:02.258053371Z,2024-05-03T23:23:02.270221517Z,2.44172382354736,2024-05-03T23:23:03.659723937Z,2024-05-03T23:23:03.936857361Z,2024-05-03T23:23:07.501886639Z,2024-05-03T23:23:06.479658824Z,2024-05-03T23:23:06.491718004Z,2.27643942832947,2024-05-03T23:23:07.867762009Z,2024-05-03T23:23:08.079308476Z,2024-05-03T23:23:11.556458391Z,2024-05-03T23:23:10.538535797Z,2024-05-03T23:23:10.548042051Z,2.24530935287476
CLEAN,0,3.39620590209961,2024-05-03T23:23:13.392356423Z,2024-05-03T23:23:13.654144755Z,2024-05-03T23:23:18.336628525Z,2024-05-03T23:23:17.328359392Z,2024-05-03T23:23:17.328893104Z,2024-05-03T23:23:18.709569182Z,2024-05-03T23:23:18.957882258Z,2024-05-03T23:23:22.494224621Z,2024-05-03T23:23:21.485191331Z,2024-05-03T23:23:21.485488875Z,2.28254985809326,2024-05-03T23:23:22.848896272Z,2024-05-03T23:23:23.08501834Z,2024-05-03T23:23:26.705710557Z,2024-05-03T23:23:25.697178147Z,2024-05-03T23:23:25.697411579Z,2.34290409088135,2024-05-03T23:23:27.061879672Z,2024-05-03T23:23:27.321212908Z,2024-05-03T23:23:31.253370215Z,2024-05-03T23:23:30.244853679Z,2024-05-03T23:23:30.245193986Z,2.62068271636963,2024-05-03T23:23:31.653856365Z,2024-05-03T23:23:31.863096298Z,2024-05-03T23:23:35.302144549Z,2024-05-03T23:23:34.293766540Z,2024-05-03T23:23:34.294055965Z,2.1717586517334,2024-05-03T23:23:35.6787782Z,2024-05-03T23:23:35.884135578Z,2024-05-03T23:23:39.328933007Z,2024-05-03T23:23:38.320631489Z,2024-05-03T23:23:38.320979074Z,2.11458086967468
CLEAN;os,0,3.38932704925537,2024-05-03T23:23:41.194496304Z,2024-05-03T23:23:41.500773366Z,2024-05-03T23:23:46.169868664Z,2024-05-03T23:23:45.161590484Z,2024-05-03T23:23:45.162170455Z,2024-05-03T23:23:46.56553169Z,2024-05-03T23:23:46.825861488Z,2024-05-03T23:23:50.576223679Z,2024-05-03T23:23:49.569245694Z,2024-05-03T23:23:49.569490684Z,2.46100735664368,2024-05-03T23:23:50.968579614Z,2024-05-03T23:23:51.176719279Z,2024-05-03T23:23:54.613192684Z,2024-05-03T23:23:53.604568080Z,2024-05-03T23:23:53.604845868Z,2.213871717453,2024-05-03T23:23:54.997367398Z,2024-05-03T23:23:55.221432382Z,2024-05-03T23:23:58.837915975Z,2024-05-03T23:23:57.828930484Z,2024-05-03T23:23:57.829210888Z,2.35288095474243,2024-05-03T23:23:59.198194343Z,2024-05-03T23:23:59.444838659Z,2024-05-03T23:24:03.227388932Z,2024-05-03T23:24:02.218050301Z,2024-05-03T23:24:02.218342676Z,2.49225187301636,2024-05-03T23:24:03.621845765Z,2024-05-03T23:24:03.818024627Z,2024-05-03T23:24:07.596184589Z,2024-05-03T23:24:06.589991687Z,2024-05-03T23:24:06.590353908Z,2.47530293464661
CLEAN;os;pandas,0,14.8183445930481,2024-05-03T23:24:09.417779249Z,2024-05-03T23:24:09.693898418Z,2024-05-03T23:24:26.299478343Z,2024-05-03T23:24:24.808046956Z,2024-05-03T23:24:25.234390856Z,2024-05-03T23:24:27.492840507Z,2024-05-03T23:24:27.735679351Z,2024-05-03T23:24:43.301451267Z,2024-05-03T23:24:41.747328588Z,2024-05-03T23:24:42.206960679Z,13.62344789505,2024-05-03T23:24:44.216978027Z,2024-05-03T23:24:44.424251205Z,2024-05-03T23:25:01.106359154Z,2024-05-03T23:24:59.523822445Z,2024-05-03T23:25:00.034926936Z,14.8114604949951,2024-05-03T23:25:02.050439559Z,2024-05-03T23:25:02.278568906Z,2024-05-03T23:25:17.980797861Z,2024-05-03T23:25:16.431243134Z,2024-05-03T23:25:16.911288269Z,13.8670914173126,2024-05-03T23:25:18.970297654Z,2024-05-03T23:25:19.20905147Z,2024-05-03T23:25:33.557420236Z,2024-05-03T23:25:32.060934884Z,2024-05-03T23:25:32.489282439Z,12.426913022995,2024-05-03T23:25:34.495513607Z,2024-05-03T23:25:34.730686042Z,2024-05-03T23:25:50.298502868Z,2024-05-03T23:25:48.801354718Z,2024-05-03T23:25:49.205404570Z,13.7888324260712
collections;dataset;imblearn;numpy;os;pandas;sklearn;sys;torch,0,2.63339770634969,2024-05-03T23:25:52.844958191Z,2024-05-03T23:25:53.14344686Z,2024-05-03T23:28:36.34465356Z,2024-05-03T23:28:31.833733929Z,2024-05-03T23:28:34.859064128Z,2024-05-03T23:28:43.685431675Z,2024-05-03T23:28:43.961319032Z,2024-05-03T23:31:38.147373374Z,2024-05-03T23:31:33.826423027Z,2024-05-03T23:31:36.639238043Z,2.819779753685,2024-05-03T23:31:45.367227073Z,2024-05-03T23:31:45.650726663Z,2024-05-03T23:34:49.447906933Z,2024-05-03T23:34:45.092883716Z,2024-05-03T23:34:47.996390400Z,2.97786454757055,2024-05-03T23:34:56.535184227Z,2024-05-03T23:34:56.776328316Z,2024-05-03T23:37:39.015468529Z,2024-05-03T23:37:34.712447611Z,2024-05-03T23:37:37.407687641Z,2.61997180382411,2024-05-03T23:37:46.200809773Z,2024-05-03T23:37:46.449357341Z,2024-05-03T23:40:30.092853527Z,2024-05-03T23:40:25.571066826Z,2024-05-03T23:40:28.570406286Z,2.64057789643606,2024-05-03T23:40:37.115112575Z,2024-05-03T23:40:37.420780059Z,2024-05-03T23:43:20.314738301Z,2024-05-03T23:43:15.900913705Z,2024-05-03T23:43:18.874157413Z,2.62792157332102
collections;dataset;numpy;os;pandas;sklearn;sys;torch,0,2.61246707439423,2024-05-03T23:43:29.887270513Z,2024-05-03T23:43:30.214816508Z,2024-05-03T23:46:11.933884978Z,2024-05-03T23:46:07.644006098Z,2024-05-03T23:46:10.515167629Z,2024-05-03T23:46:18.99526811Z,2024-05-03T23:46:19.271367264Z,2024-05-03T23:49:02.09223967Z,2024-05-03T23:48:57.816752711Z,2024-05-03T23:49:00.642710959Z,2.63119682868322,2024-05-03T23:49:09.275791317Z,2024-05-03T23:49:09.58894315Z,2024-05-03T23:51:48.998328496Z,2024-05-03T23:51:44.719486768Z,2024-05-03T23:51:47.457891487Z,2.56946506897608,2024-05-03T23:51:56.165653439Z,2024-05-03T23:51:56.464573237Z,2024-05-03T23:54:39.770138023Z,2024-05-03T23:54:35.405377996Z,2024-05-03T23:54:38.247190219Z,2.63507189353307,2024-05-03T23:54:46.775828174Z,2024-05-03T23:54:47.056133266Z,2024-05-03T23:57:35.45140145Z,2024-05-03T23:57:31.313560418Z,2024-05-03T23:57:33.954818273Z,2.72417830228806,2024-05-03T23:57:42.854113543Z,2024-05-03T23:57:43.127347867Z,2024-05-04T00:00:35.619984589Z,2024-05-04T00:00:31.220767796Z,2024-05-04T00:00:34.081210589Z,2.7900574127833
collections;importlib;os;sys;torch,0,2.16462826728821,2024-05-04T00:00:44.901032692Z,2024-05-04T00:00:45.25097981Z,2024-05-04T00:02:58.83392575Z,2024-05-04T00:02:55.794061190Z,2024-05-04T00:02:57.483713895Z,2024-05-04T00:03:05.997364342Z,2024-05-04T00:03:06.305020697Z,2024-05-04T00:05:21.104038387Z,2024-05-04T00:05:18.034159559Z,2024-05-04T00:05:19.752340077Z,2.18327642679214,2024-05-04T00:05:28.055142954Z,2024-05-04T00:05:28.356682137Z,2024-05-04T00:07:43.426863031Z,2024-05-04T00:07:40.525830317Z,2024-05-04T00:07:42.152611622Z,2.19191785256068,2024-05-04T00:07:50.4177412Z,2024-05-04T00:07:50.676766527Z,2024-05-04T00:10:10.792757502Z,2024-05-04T00:10:07.741821804Z,2024-05-04T00:10:09.464672834Z,2.27214105129242,2024-05-04T00:10:17.780635413Z,2024-05-04T00:10:18.051115128Z,2024-05-04T00:12:32.795380372Z,2024-05-04T00:12:29.915373641Z,2024-05-04T00:12:31.533917463Z,2.18414370616277,2024-05-04T00:12:39.797143259Z,2024-05-04T00:12:40.073195465Z,2024-05-04T00:14:53.817990082Z,2024-05-04T00:14:50.823936509Z,2024-05-04T00:14:52.553481018Z,2.16822841962179
collections;importlib;os;torch,0.1,2.32921529213587,2024-05-04T00:15:02.778421185Z,2024-05-04T00:15:03.066817892Z,2024-05-04T00:17:26.841419122Z,2024-05-04T00:17:23.508204735Z,2024-05-04T00:17:25.544410790Z,2024-05-04T00:17:33.829504408Z,2024-05-04T00:17:34.109139968Z,2024-05-04T00:19:46.209169074Z,2024-05-04T00:19:43.198098267Z,2024-05-04T00:19:44.866542894Z,2.13847364981969,2024-05-04T00:19:53.010371641Z,2024-05-04T00:19:53.252381447Z,2024-05-04T00:22:27.744080514Z,2024-05-04T00:22:25.008322892Z,2024-05-04T00:22:26.449972230Z,2.51788221597671,2024-05-04T00:22:34.961537818Z,2024-05-04T00:22:35.249467433Z,2024-05-04T00:24:49.802319565Z,2024-05-04T00:24:46.812386710Z,2024-05-04T00:24:48.541487859Z,2.17872748772303,2024-05-04T00:24:56.498494162Z,2024-05-04T00:24:56.760728786Z,2024-05-04T00:27:37.20426734Z,2024-05-04T00:27:34.237513956Z,2024-05-04T00:27:35.948522075Z,2.61232799291611,2024-05-04T00:27:44.23973075Z,2024-05-04T00:27:44.483008162Z,2024-05-04T00:29:58.079453944Z,2024-05-04T00:29:55.043492067Z,2024-05-04T00:29:56.803450415Z,2.16371014515559
